GPKODE	UMCU	ICC	NEO	ICK	HCK	FilterUMCU	FilterICC	FilterNEO	FilterICK	FilterHCK	Generic	UseGenName	UseShape	UseBrand	TallMan	Mmol	Divisible	GStand	Shape	Brand	GenName
188107						FALSE	FALSE	FALSE	FALSE	FALSE	TOFACITINIB							TOFACITINIB	DRANK	XELJANZ	TOFACITINIB CITRAAT
531	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOLBUTAMIDE							TOLBUTAMIDE	TABLET		TOLBUTAMIDE
12521	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOLBUTAMIDE							TOLBUTAMIDE	TABLET		TOLBUTAMIDE
144231						FALSE	FALSE	FALSE	FALSE	FALSE	TOLBUTAMIDE							TOLBUTAMIDE	TABLET		TOLBUTAMIDE
103950						FALSE	FALSE	FALSE	FALSE	FALSE	TOLCAPON							TOLCAPON	OMHULDE TABLET	TASMAR	TOLCAPON
6939						FALSE	FALSE	FALSE	FALSE	FALSE	TOLPERISON							TOLPERISON	TABLET	TOLPERMYO	TOLPERISON HYDROCHLORIDE
162795						FALSE	FALSE	FALSE	FALSE	FALSE	TOLPERISON							TOLPERISON	TABLET	TOLPERMYO	TOLPERISON HYDROCHLORIDE
104167	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOLTERODINE							TOLTERODINE	OMHULDE TABLET	DETRUSITOL	TOLTERODINE TARTRAAT
104175						FALSE	FALSE	FALSE	FALSE	FALSE	TOLTERODINE							TOLTERODINE	OMHULDE TABLET	DETRUSITOL	TOLTERODINE TARTRAAT
114391	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOLTERODINE							TOLTERODINE	CAPSULE MET GEREGULEERDE AFGIFTE	DETRUSITOL	TOLTERODINE TARTRAAT
115983						FALSE	FALSE	FALSE	FALSE	FALSE	TOLTERODINE							TOLTERODINE	CAPSULE MET GEREGULEERDE AFGIFTE	DETRUSITOL	TOLTERODINE TARTRAAT
159395						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
159409						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
159417						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
159425						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
159433						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
159441						FALSE	FALSE	FALSE	FALSE	FALSE	TOLVAPTAN							TOLVAPTAN	TABLET	JINARC	TOLVAPTAN
103152						FALSE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	OMHULDE TABLET		TOPIRAMAAT
183962						FALSE	FALSE	FALSE	FALSE	FALSE											
183970						FALSE	FALSE	FALSE	FALSE	FALSE											
183989						FALSE	FALSE	FALSE	FALSE	FALSE											
106194	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	OMHULDE TABLET	TOPAMAX	TOPIRAMAAT
106208	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	OMHULDE TABLET	TOPAMAX	TOPIRAMAAT
106216						FALSE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	OMHULDE TABLET	TOPAMAX	TOPIRAMAAT
115789	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	CAPSULE	TOPAMAX	TOPIRAMAAT
115797	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	CAPSULE	TOPAMAX	TOPIRAMAAT
131075						FALSE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	CAPSULE	TOPAMAX	TOPIRAMAAT
184055						FALSE	FALSE	FALSE	FALSE	FALSE											
184063						FALSE	FALSE	FALSE	FALSE	FALSE											
135941						FALSE	FALSE	FALSE	FALSE	FALSE	TOPIRAMAAT							TOPIRAMAAT	CAPSULE		TOPIRAMAAT
184098						FALSE	FALSE	FALSE	FALSE	FALSE											
184101						FALSE	FALSE	FALSE	FALSE	FALSE											
184128						FALSE	FALSE	FALSE	FALSE	FALSE											
100803						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	POEDER VOOR OPLOSSING VOOR INFUSIE	HYCAMTIN	TOPOTECAN HYDROCHLORIDE
129895						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	CAPSULE	HYCAMTIN	TOPOTECAN HYDROCHLORIDE
129909						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	CAPSULE	HYCAMTIN	TOPOTECAN HYDROCHLORIDE
137308						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	CONCENTRAAT VOOR OPLOSSING VOOR INFUSIE		TOPOTECAN HYDROCHLORIDE
150827						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	INFUUS		TOPOTECAN HYDROCHLORIDE
182451						FALSE	FALSE	FALSE	FALSE	FALSE	TOPOTECAN							TOPOTECAN	POEDER VOOR OPLOSSING VOOR INFUSIE		TOPOTECAN HYDROCHLORIDE
143294						FALSE	FALSE	FALSE	FALSE	FALSE	TRABECTEDINE							TRABECTEDINE	POEDER VOOR OPLOSSING VOOR INFUSIE	YONDELIS	TRABECTEDINE
143308						FALSE	FALSE	FALSE	FALSE	FALSE	TRABECTEDINE							TRABECTEDINE	POEDER VOOR OPLOSSING VOOR INFUSIE	YONDELIS	TRABECTEDINE
184217						FALSE	FALSE	FALSE	FALSE	FALSE											
154555						FALSE	FALSE	FALSE	FALSE	FALSE	TRABECTEDINE							TRABECTEDINE	INFUUS		TRABECTEDINE
186732	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRALOKINUMAB							TRALOKINUMAB	INJECTIEVLOEISTOF	ADTRALZA	TRALOKINUMAB
88641	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRAMADOL				traMADol			TRAMADOL	ZETPIL		TRAMADOL HYDROCHLORIDE
184268						FALSE	FALSE	FALSE	FALSE	FALSE											
88668	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRAMADOL				traMADol			TRAMADOL	CAPSULE		TRAMADOL HYDROCHLORIDE
88692	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRAMADOL				traMADol			TRAMADOL	INJECTIEVLOEISTOF	TRAMAL	TRAMADOL HYDROCHLORIDE
94625	x	x				TRUE	TRUE	FALSE	FALSE	FALSE	TRAMADOL				traMADol		40	TRAMADOL	DRUPPELS VOOR ORAAL GEBRUIK	TRAMAL	TRAMADOL HYDROCHLORIDE
101761						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL							TRAMADOL	BRUISTABLET		TRAMADOL HYDROCHLORIDE
104213	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (TABLET MET GEREGULEERDE AFGIFTE)		x		traMADol			TRAMADOL	TABLET MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
104221						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (TABLET MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	TABLET MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
104248	x					TRUE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (TABLET MET GEREGULEERDE AFGIFTE)		x		traMADol			TRAMADOL	TABLET MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
107166						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (CAPSULE MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	CAPSULE MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
107174						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (CAPSULE MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	CAPSULE MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
107182						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (CAPSULE MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	CAPSULE MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
109738						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (CAPSULE MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	CAPSULE MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
109959						FALSE	FALSE	FALSE	FALSE	FALSE	TRAMADOL (TABLET MET GEREGULEERDE AFGIFTE)		x					TRAMADOL	TABLET MET GEREGULEERDE AFGIFTE		TRAMADOL HYDROCHLORIDE
